T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1605766140,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000609506,4.31254e-22,1.82983e-24,2.19715e-26,0.25,0.25,0.25,0.25,0.25,0.25,2.95354e+21,9.58871e+23,1.57914e+23,4.60809e+19,1.73927e+17,1.11058e+18,9.39688e+24,1.0008e+21,7.26665e+17
1605766140,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000609621,8.34999e-23,7.76614e-25,4.37658e-28,0.25,0.25,0.25,0.25,0.25,0.25,3.66506e+22,5.28493e+25,1.6574e+23,2.00799e+21,1.1991e+18,2.3383e+19,5.1762e+26,3.08754e+23,2.85223e+19
1605766141,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000609234,7.563e-22,1.34019e-25,4.94986e-29,0.25,0.25,0.25,0.25,0.25,0.25,1.27139e+24,8.5786e+26,3.50052e+24,3.26467e+22,7.12263e+18,1.26687e+20,8.40214e+27,1.83312e+24,2.37714e+20
1605766142,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000609801,5.74837e-22,4.25894e-24,8.10231e-28,0.25,0.25,0.25,0.25,0.25,0.25,3.48866e+22,2.90203e+25,1.41665e+23,1.10547e+21,6.24156e+16,2.89437e+19,2.84234e+26,2.70844e+20,1.90534e+19
1605766142,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.00061158,3.0432e-22,7.75371e-24,7.85314e-27,0.25,0.25,0.25,0.25,0.25,0.25,6.21461e+21,3.25574e+24,6.85713e+21,1.2256e+20,1.18776e+17,4.5655e+18,3.18875e+25,3.12254e+22,1.10366e+18
1605766143,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000612677,5.52349e-22,2.71053e-25,1.0425e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.20483e+23,1.08238e+23,2.34588e+24,1.50568e+20,4.40684e+18,2.60974e+17,9.58368e+23,1.18336e+22,1.91232e+16
1605766144,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000616,1.62328e-21,9.39459e-25,8.67106e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.72251e+22,3.01043e+24,4.21867e+22,1.11094e+20,9.88776e+17,4.42232e+18,2.94877e+25,2.62514e+23,7.70788e+17
1605766145,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000618452,1.41832e-21,8.57687e-25,1.92071e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.4814e+22,1.36652e+25,2.7883e+23,4.9852e+20,1.04553e+18,2.57016e+19,1.33868e+26,2.80665e+23,1.5113e+18
1605766145,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000618634,1.30377e-21,1.46619e-25,1.59987e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.50448e+24,1.85311e+23,7.6459e+22,6.72518e+18,5.4899e+19,9.54743e+19,1.8042e+24,1.47555e+25,2.21694e+18
1605766146,9.84513,9.84513,9.79421,9.79421,1,1,1,1,1,1,1,0.000618164,3.16074e-21,1.14373e-25,3.50771e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.28236e+23,7.03934e+24,1.49595e+23,2.57151e+20,8.43765e+18,3.17801e+18,6.89595e+25,2.26269e+24,2.89622e+18